timestamp,user_id,username,action,resource,resource_sensitivity,status,source_ip,time_classification,hour,dow,sens_score,time_risk,action_risk,department,job_title,privilege_level,systems_access,days_inactive,is_active,pct_night,pct_weekend,pct_export,pct_failure,mean_sens,max_sens,total_events,is_offhours,offhours_deviation,is_export,export_deviation,sens_above_baseline,is_first_time_resource,priv_mismatch,is_failure,cross_dept_access,stale_account_flag,admin_op_by_nonadmin,weekend_export,ml_risk_base,risk_score,severity,is_anomaly_pred
2025-04-21 05:58:00,USR00057,zainab.jo,export_data,File_Share,low,success,192.168.66.185,business_hours,5,0,0,0,3,Sales,Architect,admin,GCP|ADMIN_SYS|AD|SIEM,14,True,0.25,0.0,0.25,0.0625,1.125,2,16,0,0.0,1,0.75,0.0,1,0,0,0,0,0,0,21.263178248046664,21.3,LOW,0
2025-04-21 21:44:00,USR00079,varun.weber,sql_query,Customer_Vault,high,success,192.168.4.1,business_hours,21,0,2,0,1,Engineering,Engineer,user,AWS_IAM,52,True,0.29411764705882354,0.0,0.058823529411764705,0.0,0.8235294117647058,2,17,0,0.0,0,0.0,1.1764705882352942,1,1,0,1,1,0,0,15.077101967608133,41.1,MEDIUM,0
2025-04-22 09:18:00,USR00085,varun.rao,api_call,HRIS,high,success,192.168.200.228,night,9,1,2,3,1,Marketing,Developer,user,Salesforce,44,True,0.3076923076923077,0.07692307692307693,0.07692307692307693,0.07692307692307693,1.2307692307692308,2,13,1,0.6923076923076923,0,0.0,0.7692307692307692,1,1,0,1,1,0,0,56.64891752528028,82.6,CRITICAL,1
2025-04-22 15:52:00,USR00037,ronald.wilson,admin_operation,HRIS,high,success,192.168.45.173,business_hours,15,1,2,0,2,Finance,Coordinator,power-user,AD|AWS_IAM|Azure_AD|EMAIL,25,True,0.15384615384615385,0.0,0.15384615384615385,0.15384615384615385,1.2307692307692308,2,13,0,0.0,0,0.0,0.7692307692307692,1,0,0,1,0,0,0,6.495491482078167,24.5,LOW,0
2025-04-23 06:57:00,USR00048,xiulan.colombo,export_data,GL_System,high,success,192.168.235.133,weekend,6,2,2,1,3,Compliance,Administrator,user,GCP|Azure_AD,34,True,0.3157894736842105,0.05263157894736842,0.10526315789473684,0.05263157894736842,1.0526315789473684,2,19,0,0.0,1,0.8947368421052632,0.9473684210526316,1,1,0,1,1,0,1,98.54804066748873,100.0,CRITICAL,1
2025-04-24 00:09:00,USR00032,pooja.martin,admin_operation,Admin_Console,medium,success,192.168.250.93,night,0,3,1,3,2,Support,Coordinator,user,SIEM|AWS_IAM,13,True,0.38461538461538464,0.15384615384615385,0.07692307692307693,0.0,1.5384615384615385,2,13,1,0.6153846153846154,0,0.0,0.0,1,0,0,1,0,1,0,83.9696032537884,90.0,CRITICAL,1
2025-04-24 03:19:00,USR00015,sophia.white,login,HRIS,high,success,192.168.241.25,business_hours,3,3,2,0,0,Security,Developer,admin,Okta|SIEM|Azure_AD|ServiceNow|AWS_IAM|VPN|ADMIN_SYS,24,True,0.18181818181818182,0.0,0.0,0.18181818181818182,1.4545454545454546,2,11,0,0.0,0,0.0,0.5454545454545454,1,0,0,1,0,0,0,12.036780270609267,30.0,LOW,0
2025-04-27 16:47:00,USR00017,diya.schulz,sql_query,BI_Tool,low,success,192.168.172.14,unusual_hours,16,6,0,2,1,Executive,Manager,power-user,ADMIN_SYS|GCP|Okta,46,True,0.3333333333333333,0.0,0.25,0.0,1.0833333333333333,2,12,1,0.6666666666666667,0,0.0,0.0,1,0,0,0,1,0,0,13.02516362125066,13.0,LOW,0
2025-04-28 06:43:00,USR00036,nicholas.harris,admin_operation,Admin_Console,medium,success,192.168.210.146,business_hours,6,0,1,0,2,Marketing,Analyst,user,AD|Azure_AD,40,True,0.2,0.1,0.1,0.1,1.7,2,10,0,0.0,0,0.0,0.0,1,0,0,1,1,1,0,23.774438479576297,41.8,MEDIUM,0
2025-04-29 22:34:00,USR00010,jacob.patel,sql_query,HRIS,high,success,192.168.208.90,business_hours,22,1,2,0,1,Marketing,Architect,user,PROD_DB|ADMIN_SYS,1,True,0.3333333333333333,0.0,0.16666666666666666,0.0,1.5,2,12,0,0.0,0,0.0,0.5,1,1,0,1,0,0,0,2.8834486833966593,28.9,LOW,0
